business_class,description,is_load_business_class,single_or_multiple,load_family_root,family_root_base,family_root_base_exists_as_business_class,load_variant_base,variant_root_exists_as_business_class,naming_pattern,is_exact_variant_base,relationship_role,grouping_method,family_member_count,family_root_base_count,variant_bases_csv,related_members_csv,related_business_classes_csv
AssetBarCodeFileInterface,The AssetBarCodeFileInterface Raw Data Web Service contains operations that expose AssetBarCodeFileInterface-related tasks in the Infor Enterprise Business Services.,Y,single,AssetBarCodeFile,AssetBarCodeFileInterface,Y,AssetBarCodeFileInterface,Y,Interface,Y,,direct_variant,1,1,AssetBarCodeFileInterface,,AssetBarCodeFileInterface
AssetItemAdjustmentImport,The AssetItemAdjustmentImport Raw Data Web Service contains operations that expose AssetItemAdjustmentImport-related data in the Infor Enterprise Business Services.,Y,single,AssetItemAdjustment,AssetItemAdjustmentImport,Y,AssetItemAdjustmentImport,Y,Import,Y,,direct_variant,1,1,AssetItemAdjustmentImport,,AssetItemAdjustmentImport
AssetItemUpdateAdjustmentInterface,The AssetItemUpdateAdjustmentInterface Raw Data Web Service contains operations that expose AssetItemUpdateAdjustmentInterface-related tasks in the Infor Enterprise Business Services.,Y,single,AssetItemUpdateAdjustment,AssetItemUpdateAdjustmentInterface,Y,AssetItemUpdateAdjustmentInterface,Y,Interface,Y,,direct_variant,1,1,AssetItemUpdateAdjustmentInterface,,AssetItemUpdateAdjustmentInterface
AssetRepairImport,The AssetRepairImport Raw Data Web Service contains operations that expose AssetRepairImport-related data in the Infor Enterprise Business Services.,Y,single,AssetRepair,AssetRepairImport,Y,AssetRepairImport,Y,Import,Y,,direct_variant,1,1,AssetRepairImport,,AssetRepairImport
AssetTransactionImport,The AssetTransactionImport Raw Data Web Service contains operations that expose AssetTransactionImport-related data in the Infor Enterprise Business Services.,Y,single,AssetTransaction,AssetTransactionImport,Y,AssetTransactionImport,Y,Import,Y,,direct_variant,1,1,AssetTransactionImport,,AssetTransactionImport
BillOfExchangeInterface,The BillOfExchangeInterface Raw Data Web Service contains operations that expose BillOfExchangeInterface-related tasks in the Infor Enterprise Business Services.,Y,single,BillOfExchange,BillOfExchangeInterface,Y,BillOfExchangeInterface,Y,Interface,Y,,direct_variant,1,1,BillOfExchangeInterface,,BillOfExchangeInterface
BillToImport,The BillToImport Raw Data Web Service contains operations that expose BillToImport-related data in the Infor Enterprise Business Services.,Y,single,BillTo,BillToImport,Y,BillToImport,Y,Import,Y,,direct_variant,1,1,BillToImport,,BillToImport
CalculateTaxInterface,The CalculateTaxInterface Raw Data Web Service contains operations that expose CalculateTaxInterface-related data in the Infor Enterprise Business Services.,Y,single,CalculateTax,CalculateTaxInterface,Y,CalculateTaxInterface,Y,Interface,Y,,direct_variant,1,1,CalculateTaxInterface,,CalculateTaxInterface
CashCodeAttributeInterfaceList,The CashCodeAttributeInterfaceList Raw Data Web Service contains operations that expose CashCodeAttributeInterfaceList-related tasks in the Infor Enterprise Business Services.,Y,single,CashCodeAttribute,CashCodeAttributeInterface,N,CashCodeAttributeInterface,N,Interface,N,List,suffix_member,1,1,CashCodeAttributeInterface,CashCodeAttributeInterfaceList,CashCodeAttributeInterfaceList
CashLedgerPaymentImport,The CashLedgerPaymentImport Raw Data Web Service contains operations that expose CashLedgerPaymentImport-related data in the Infor Enterprise Business Services.,Y,single,CashLedgerPayment,CashLedgerPaymentImport,Y,CashLedgerPaymentImport,Y,Import,Y,,direct_variant,1,1,CashLedgerPaymentImport,,CashLedgerPaymentImport
CashLedgerReceiptImport,The CashLedgerReceiptImport Raw Data Web Service contains operations that expose CashLedgerReceiptImport-related data in the Infor Enterprise Business Services.,Y,single,CashLedgerReceipt,CashLedgerReceiptImport,Y,CashLedgerReceiptImport,Y,Import,Y,,direct_variant,1,1,CashLedgerReceiptImport,,CashLedgerReceiptImport
